Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,LYX,1,1.837,0.149,-0.378,C,343.0,2,96.7,a,d,lyxp,lyx,P
HETATM,2,C2,LYX,1,1.104,-0.005,0.94,C,343.0,2,72.9,a,d,lyxp,lyx,P
HETATM,3,C3,LYX,1,-0.18,-0.795,0.71,C,343.0,2,73.3,a,d,lyxp,lyx,P
HETATM,4,C4,LYX,1,-1.052,-0.09,-0.342,C,343.0,2,70.3,a,d,lyxp,lyx,P
HETATM,5,C5,LYX,1,-0.187,0.117,-1.605,C,343.0,2,65.8,a,d,lyxp,lyx,P
HETATM,6,OH1,LYX,1,2.24,-1.093,-0.808,O,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,7,OH3,LYX,1,-0.897,-0.919,1.941,O,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,8,O5,LYX,1,1.019,0.822,-1.321,O,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,9,HO1,LYX,1,3.07,-0.953,-1.501,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,10,HO3,LYX,1,-0.803,-1.94,2.309,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,11,OH2,LYX,1,0.768,1.269,1.473,O,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,12,OH4,LYX,1,-2.214,-0.851,-0.648,O,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,13,HO2,LYX,1,0.128,1.801,0.769,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,14,HO4,LYX,1,-2.952,-0.721,0.143,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,15,H5A,LYX,1,-0.779,0.752,-2.259,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,16,H5E,LYX,1,0.017,-0.768,-2.192,H,343.0,2,-1.0,a,d,lyxp,lyx,P
HETATM,17,H1,LYX,1,2.722,0.768,-0.232,H,343.0,2,5.01,a,d,lyxp,lyx,P
HETATM,18,H2,LYX,1,1.741,-0.542,1.644,H,343.0,2,3.81,a,d,lyxp,lyx,P
HETATM,19,H3,LYX,1,0.082,-1.792,0.357,H,343.0,2,3.9,a,d,lyxp,lyx,P
HETATM,20,H4,LYX,1,-1.348,0.883,0.052,H,343.0,2,3.86,a,d,lyxp,lyx,P
